id,name,artist,time,date,y-channel,t-account
heblmdNsj8s,えのぐ【Liveバージョン】,えのぐ,4:39,2018/08/26,UCFI81W9F49a7GvimKF905eQ,rbc_geino
NX_6x5cE_0k,絵空事,えのぐ,3:42,2019/04/13,UCFI81W9F49a7GvimKF905eQ,rbc_geino
D3TL_KfWpr8,僕たちの青春ロード,えのぐ(ひなつくり),2:21,2018/10/10,UCFI81W9F49a7GvimKF905eQ,rbc_geino
6tUs2h83Xp4,君がいてくれれば ,えのぐ(鈴木あんず・白藤環),2:10,2018/12/29,UCFI81W9F49a7GvimKF905eQ,rbc_geino
jis7E_mbwPw,シンクロニティ,おめがシスターズ,3:30,2019/03/06,UCNjTjd2-PMC8Oo_-dCEss7A,omesis_rio
4byaJ9w47uU,Hello，Morning (Prod.Nor),キズナアイ,3:44,2018/07/15,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel
yeD7eAuza74,future base,キズナアイ,3:03,2018/10/26,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel
Q_dnENXIcPg,new world,キズナアイ,3:56,2018/11/02,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel
OIdlW0u3ZXc,over the reality,キズナアイ,3:40,2018/11/09,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel
eolXxm37-8Y,miracle step,キズナアイ,3:13,2018/11/16,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel
LyJ5vCAYZXQ,Hello，Morning（Pa's Lam System Remix）,キズナアイ,4:07,2018/11/23,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel
X-6foRGSjPg,melty world,キズナアイ,4:48,2018/11/30,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel
NJGPF7t368E,hello，alone,キズナアイ,4:06,2018/12/07,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel
w3nSFJ4MQ7M,meet you,キズナアイ,4:19,2018/12/14,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel
HRCqXIBFRhU,mirai,キズナアイ,5:12,2018/12/21,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel
S8dmq5YIUoc,AIAIAI,キズナアイ,3:13,2019/03/29,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel
yLrstz80MKs,Sky High,キズナアイ,3:49,2019/07/22,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel
cFPshMNlfJ0,Virthday,ココロナキ,4:08,2018/11/19,UCkemNkC6e37JsQbkM7dJ64w,kokoronaki7
Z1CZuUxJNnI,Drop,ずぼら ゆる,3:27,2019/01/11,UC8sTZzRGKVvK4u3SfjJTfhQ,YuruZubora
Vm83uFymhBw,Reincarnate,デラ,1:26,2018/05/18,UC0QzO6nK1cEDZvJSt2769Zw,harddeluxe
BvlCYJ1XZ3Y,木の芽時の空,ときのそら,1:59,2018/01/19,UCp6993wxpyDPHUpavwDFqgg,tokino_sora
kTV6uSmiXEw,夢色アスタリスク,ときのそら,5:17,2018/01/29,UCp6993wxpyDPHUpavwDFqgg,tokino_sora
pKASI4dEG3A,わたしとあなたと皆さまと！,ときのそら,1:33,2018/05/15,UCp6993wxpyDPHUpavwDFqgg,tokino_sora
yVxmv4oqPzs,未練レコード,ときのそら,3:34,2018/10/04,UCp6993wxpyDPHUpavwDFqgg,tokino_sora
Z9oZ4r0cxME,Wandering Days,ときのそら,4:08,2018/11/12,UCp6993wxpyDPHUpavwDFqgg,tokino_sora
MjkDaUwPzkU,そんな雨の日には,ときのそら,3:46,2018/12/12,UCp6993wxpyDPHUpavwDFqgg,tokino_sora
nP5mhWX2i0Q,海より深い空の下,ときのそら,3:59,2018/12/18,UCp6993wxpyDPHUpavwDFqgg,tokino_sora
rbd-m8r5Ujs,Dream☆Story,ときのそら,4:41,2019/01/08,UCp6993wxpyDPHUpavwDFqgg,tokino_sora
CICsAfQ6ke8,Mr.Music,にじさんじ(1期生),4:31,2018/07/05,UCX7YkU9nEeaoZbkVLVajcMg,Nijisanji_app
M9VZ-BczRH0,dream triangle,にじさんじ(月ノ美兎・静凛・樋口楓),6:30,2019/02/15,UCX7YkU9nEeaoZbkVLVajcMg,Nijisanji_app
_QUc8JN_jCM,sharpness...,にじさんじ(剣持刀也),1:43,2018/04/06,UCv1fFr156jc65EMiLbaLImw,rei_Toya_rei
1O2tU4OxFmQ,パッチワーク,にじさんじ(森中花咲),1:48,2018/06/27,UCtpB6Bvhs1Um93ziEDACQ8g,KazakiMorinaka
SnkUxyMoR5s,オトナのオトメ,にじさんじ(森中花咲),3:11,2019/05/23,UCtpB6Bvhs1Um93ziEDACQ8g,KazakiMorinaka
nqRKUyUB7K8,椎名唯華を待っています。,にじさんじ(椎名唯華),1:39,2019/08/08,UC_4tXjqecqox5Uc05ncxpxg,yuika_siina
OLWqLMbq5QY,MapleDancer,にじさんじ(樋口楓),3:18,2018/07/13,UCsg-YqdqQ-KFF0LNk23BY4A,HiguchiKaede
Vs9dX8C9Cn8,奏でろ音楽！！！,にじさんじ(樋口楓),4:14,2018/12/10,UCsg-YqdqQ-KFF0LNk23BY4A,HiguchiKaede
w565CF7KsHA,皐月の風,にじさんじ(樋口楓),2:08,2018/12/24,UCsg-YqdqQ-KFF0LNk23BY4A,HiguchiKaede
pGdJHcAAPlc,放課後Memory,にじさんじ(樋口楓),3:22,2019/03/17,UCsg-YqdqQ-KFF0LNk23BY4A,HiguchiKaede
